id,messier_number,common_name,object_type,constellation,ra_hours,dec_degrees,magnitude,notes,created_at,updated_at,distance_ly,object_subtype,url
aca15b97-535c-4fcc-9ddf-7f28e63a85d5,1,Crab Nebula,Nebula,Taurus,5.575,22.014,8.40,Remnant of a supernova observed in 1054 AD. Catalogued by Messier in 1758.,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,6500,Supernova Remnant,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-1/
7af67ad7-c23d-4580-8edd-2883f2ddbfa6,2,Messier 2,Star Cluster,Aquarius,21.550,-0.823,6.30,"Discovered by Maraldi in 1746, catalogued by Messier in 1760.",2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,37000,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-2/
586b60ba-db5e-4253-967c-a595f84b52c1,3,Messier 3,Star Cluster,Canes Venatici,13.700,28.380,6.20,"Discovered by Messier in 1764, this cluster contains over 500,000 stars.",2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,34000,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-3/
727e7414-dd51-4fa8-bab9-23194bd65b94,4,Messier 4,Star Cluster,Scorpius,16.450,-26.530,5.90,One of the closest globular clusters to Earth.,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,5500,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-4/
f754f7fc-e061-498d-8209-3e4f0cd2dae6,5,Messier 5,Star Cluster,Serpens,15.300,2.080,6.70,"Discovered by Kirch in 1702, added to Messier's catalog in 1764.",2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,25000,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-5/
ccdc448f-2fc4-4a6c-80e4-101a2857f82b,6,Butterfly Cluster,Star Cluster,Scorpius,17.670,-32.220,4.20,"Known since antiquity, resembles a butterfly in shape.",2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,1601,Open Cluster,https://theskylive.com/sky/deepsky/messier-6-butterfly-cluster-object
03d0c190-00a6-4383-89ec-3fafa04160a7,7,Ptolemy Cluster,Star Cluster,Scorpius,17.920,-34.800,3.30,Known to Ptolemy in 130 AD. Bright open cluster.,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,980,Open Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-7/
939527fa-ea06-450c-a441-0f7364776fa6,8,Lagoon Nebula,Nebula,Sagittarius,18.050,-24.380,6.00,Discovered by Le Gentil in 1747. Star-forming region.,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,5200,Emission Nebula,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-8/
cb4e3f62-0fc6-4b3c-8c8a-35138464c7b4,9,Messier 9,Star Cluster,Ophiuchus,17.250,-18.520,8.40,Discovered by Messier in 1764. Compact and faint.,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,25000,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-9/
786e367e-6fe3-498c-a93e-4dd634ed0dd2,10,Messier 10,Star Cluster,Ophiuchus,16.850,-4.100,6.40,Discovered by Messier in 1764. One of the brighter globulars.,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,15000,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-10/
5b7a64ad-0d6f-4e38-accd-76a35fd98e3b,11,Wild Duck Cluster,Star Cluster,Scutum,18.870,-6.270,6.30,,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,6200,Open Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-11/
d8170870-fb0a-418d-b183-90d2810b1451,12,Messier 12,Star Cluster,Ophiuchus,16.780,-1.950,7.70,,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,23000,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-12/
c4600235-37c3-4754-a59b-6800604423b4,13,Great Hercules Cluster,Star Cluster,Hercules,16.690,36.460,5.80,,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,25000,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-13/
fc24a8b4-2b0f-4976-b914-a76ab0cd44d0,14,Messier 14,Star Cluster,Ophiuchus,17.630,-3.250,8.30,,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,29000,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-14/
e5ed81dc-38e2-4d7a-a375-814eaef6ff37,15,Great Pegasus Cluster,Star Cluster,Pegasus,21.500,12.170,6.20,,2025-08-12 20:21:48.620018 +00:00,2025-08-12 20:21:48.620018 +00:00,33600,Globular Cluster,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-15/
