m,status,page,image,file,title,skipped,error
1,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-1/,https://science.nasa.gov/wp-content/uploads/2023/04/crab-nebula-mosaic-jpg.webp,messier_images\M001_Messier_1.jpg,Messier 1,,
2,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-2/,https://science.nasa.gov/wp-content/uploads/2023/04/m2-jpg.webp,messier_images\M002_Messier_2.jpg,Messier 2,,
3,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-3/,https://science.nasa.gov/wp-content/uploads/2023/04/m3-jpg.webp,messier_images\M003_Messier_3.jpg,Messier 3,,
4,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-4/,https://science.nasa.gov/wp-content/uploads/2023/04/potw1236a-jpg.webp,messier_images\M004_Messier_4.jpg,Messier 4,,
5,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-5/,https://science.nasa.gov/wp-content/uploads/2023/04/potw1118a-jpg.webp,messier_images\M005_Messier_5.jpg,Messier 5,,
6,404,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-6/,,,,True,
7,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-7/,https://science.nasa.gov/wp-content/uploads/2023/06/hubble-m7-wfc3-2-flat-final-jpg.webp,messier_images\M007_Messier_7.jpg,Messier 7,,
8,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-8/,https://assets.science.nasa.gov/dynamicimage/assets/science/missions/hubble/nebulae/emission/Hubble_M8_ACS_1_flat_FINAL.jpg,messier_images\M008_Messier_8.jpg,Messier 8,,
9,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-9/,https://science.nasa.gov/wp-content/uploads/2023/04/heic1205a-jpg.webp,messier_images\M009_Messier_9.jpg,Messier 9,,
10,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-10/,https://science.nasa.gov/wp-content/uploads/2023/04/potw1225a-jpg.webp,messier_images\M010_Messier_10.jpg,Messier 10,,
